ONNX Operator Name,Map Description & Graph Fusion Description,HBIR Operator Name,BPU Support Constraints
Add,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.add(lhs, rhs, output_type=y)","hbir.add
","{'hbir.add': {'lhs': ['{Type: int8, int16, int32, if type is int32, this hbir.add op must be fusible to a Conv op}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
And,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    # lhs = adaptor.operands[0].value.astype(np.int8)
    # rhs = adaptor.operands[1].value.astype(np.int8)
    return hbir.logical_and(lhs, rhs, output_type=y)","hbir.logical_and
","{'hbir.logical_and': {'lhs': ['{Type: int8, int16, bool8}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
ArgMax,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *, axis=0, keepdims=1
):
    return hbir.reduce_argmax(
        x,
        dims=[axis],
        keepDim=bool(keepdims),
        output_type=y,
    )
//opset12
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    axis=0,
    keepdims=1,
    select_last_index=0,
):
    assert (
        select_last_index == 0
    ), ""argmax exported via torch should have select_last_index set to false""
    return hbir.reduce_argmax(
        x,
        dims=[axis],
        keepDim=bool(keepdims),
        output_type=y,
    )","hbir.reduce_argmax
","{'hbir.reduce_argmax': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}}"
ArgMin,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *, axis=0, keepdims=1
):
    return hbir.reduce_argmin(
        x,
        dims=[axis],
        keepDim=bool(keepdims),
        output_type=y,
    )
//opset12
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    axis=0,
    keepdims=1,
    select_last_index=0,
):
    assert (
        select_last_index == 0
    ), ""argmin exported via torch should have select_last_index set to false""
    return hbir.reduce_argmin(
        x,
        dims=[axis],
        keepDim=bool(keepdims),
        output_type=y,
    )","hbir.reduce_argmin
","{'hbir.reduce_argmin': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}}"
AveragePool,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    kernel_shape,
    pads=[0, 0],
    strides=[1],
    auto_pad=""NOTSET"",
    ceil_mode=0,
    count_include_pad=0,
):
    if auto_pad != ""NOTSET"":
        raise ValueError(
            ""Operator AveragePool does not support attribute auto_pad. It is a deprecated attribute. ""
        )
    kernel_dim = len(kernel_shape)
    if kernel_dim < 1 or kernel_dim > 2:
        raise ValueError(
            f""Operator AveragePool does not support kernel_dim {kernel_dim}""
        )
    dilations = [1]
    if kernel_dim == 1:
        x = hbir.transpose(x, [0, 2, 1])
    elif kernel_dim == 2:
        x = hbir.transpose(x, [0, 2, 3, 1])
        if dilations == [1]:
            dilations = dilations * kernel_dim
        if strides == [1]:
            strides = strides * kernel_dim
        if pads == [0, 0]:
            pads = pads * kernel_dim
    # input trans: nchw->nhwc
    # output trans: nhwc->nchw
    x = hbir.avg_pool(
        x, kernel_shape, strides, pads, dilation=dilations, ceilMode=bool(ceil_mode)
    )

    if kernel_dim == 1:
        return hbir.transpose(x, [0, 2, 1], output_type=y)
    return hbir.transpose(x, [0, 3, 1, 2], output_type=y)","hbir.transpose
hbir.transpose
hbir.avg_pool
hbir.transpose
hbir.transpose
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.avg_pool': {'input': ['{Type: int8, int16}\n{Shape: [*,H,W,C] or [*,L,C]}'], 'output': ['{Same as input}'], 'kernel': ['{Shape: [KH,KW] or [KL]}\n{Dim: KH, KW, KL ∈ [1, 256], avgPool: KH*KW*bitWidth/8 &lt;= 24576, maxPool: KH*KW &lt;= 32768}'], 'stride': ['{Shape: [SH,SW] or [SL]}\n{Dim: SH, SW, SL ∈ [1, 256]}'], 'pad': ['{Shape: [PH_BEGIN,PW_BEGIN,PH_END,PW_END] or [PL_BEGIN,PL_END]}\n{PH_BEGIN,PW_BEGIN,PL_BEGIN,PH_END,PW_END,PL_END ∈ [-255, 256]}']}}"
BatchNormalization,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    scale: mlir.Value,
    bias: mlir.Value,
    mean: mlir.Value,
    var: mlir.Value,
    *,
    epsilon: float = 1e-05,
    momentum: float = 0.9,
):
    input_len = len(adaptor.operands[0].type.shape)
    axis = [i for i in range(input_len)]
    permutes_c_last = axis[0:1] + axis[2:] + axis[1:2]
    permutes_c_ahead = (
        axis[0:1] + axis[input_len - 1 : input_len] + axis[1 : input_len - 1]
    )
    data = hbir.transpose(data, permutes_c_last)
    data = hbir.batchnorm(
        data, weight=scale, bias=bias, mean=mean, var=var, eps=epsilon
    )
    data = hbir.transpose(data, permutes_c_ahead, output_type=y)
    return data
//opset14
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    scale: mlir.Value,
    bias: mlir.Value,
    mean: mlir.Value,
    var: mlir.Value,
    *,
    epsilon: float = 1e-05,
    momentum: float = 0.9,
    training_mode: int = 1,
):
    input_len = len(adaptor.operands[0].type.shape)
    axis = [i for i in range(input_len)]
    permutes_c_last = axis[0:1] + axis[2:] + axis[1:2]
    permutes_c_ahead = (
        axis[0:1] + axis[input_len - 1 : input_len] + axis[1 : input_len - 1]
    )
    data = hbir.transpose(data, permutes_c_last)
    data = hbir.batchnorm(
        data, weight=scale, bias=bias, mean=mean, var=var, eps=epsilon
    )
    data = hbir.transpose(data, permutes_c_ahead, output_type=y)
    return data","hbir.transpose
hbir.batchnorm
hbir.transpose
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.batchnorm': {'input': ['{Type: int8, int16}\n{Shape: [*,H,W,C]}'], 'mean': ['{Type: f32}\n{Shape: [C]}'], 'var': ['{Type: f32}\n{Shape: [C]}'], 'weight': ['{Type: f32}\n{Shape: [C]}'], 'bias': ['{Type: f32}\n{Shape: [C]}'], 'output': ['{Same as input}']}}"
Cast,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *, to):
    return hbir.cast_type(x, output_type=y)","hbir.cast_type
","{'hbir.cast_type': {'input': ['{Type: int8, int16, bool8}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Clip,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    max=3.4028234663852886e38,
    min=-3.4028234663852886e38,
):
    return hbir.clip(x, min, max, output_type=y)
//opset11
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, *args):
    if len(args) == 1:
        logging.info(""Input max and min missing, using default max and min."")
        x = adaptor.operands[0].value
        max = 3.4028234663852886e38
        min = -3.4028234663852886e38
    elif len(args) == 3:
        x = adaptor.operands[0].value
        min = float(adaptor.operands[1].value)
        max = float(adaptor.operands[2].value)
    else:
        raise ValueError(
            f""Operator Clip does not support input number given: {len(args)}""
        )

    return hbir.clip(x, min, max, output_type=y)","hbir.clip
","{'hbir.clip': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Concat,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, *args, axis):
    return hbir.concat(args, dim=axis, output_type=y)","hbir.concat
","{'hbir.concat': {'input': ['{Arg Number: input number ∈ [1, 1024]}\n{Dim: all dims &lt; 131072 }\n{size &lt; 2G}'], 'output': ['{Same as input}']}}"
Conv,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    w: mlir.Value,
    b: Optional[mlir.Value] = None,
    *,
    dilations=(1, 1),
    group=1,
    kernel_shape,
    pads=(0, 0, 0, 0),
    strides=(1, 1),
):
    x = nchw_to_nhwc(x)
    w = nchw_to_nhwc(w)
    x = hbir.conv(x, w, strides, pads, dilations, group, bias=b)
    x = nhwc_to_nchw(x)
    return x","hbir.conv
","{'hbir.conv': {'input': ['{--conv 1d--}\n{Type: int8, int16; input and weight cannot both be int16;}\n{Shape: [*,L,C]}\n{Dim: * ∈ [1, 4096]; L,C ∈ [1, 65536]}\n{--conv 2d--}\n{Type: int8, int16; input and weight cannot both be int16;}\n{Shape: [*,H,W,C]}\n{Dim: * ∈ [1, 4096]; H,W,C ∈ [1, 65536]}'], 'weight': ['{--conv 1d--}\n{Type: int8, int16; input and weight cannot both be int16}\n{Shape: [N,KL,C]}\n{Dim: C ∈ [1, 8192]; KL ∈ [1, 31]; N ∈ [1, 65536] if fout is the last layer of conv else [1, 8192]}\n{Size: KL × C ∈ [1, 65536]}\n{--conv 2d--}\n{Type: int8, int16; input and weight cannot both be int16}\n{Shape: [N,KH,KW,C]}\n{Dim: C ∈ [1, 8192]; KH,KW ∈ [1, 31]; N ∈ [1, 65536] if fout is the last layer of conv else [1, 8192]}\n{Size: KH × KW × C ∈ [1, 65536]}'], 'bias': ['{Type: f32}'], 'output': ['{--conv 1d--}\n{Type: int8, int16, int32}\n{Shape: [*,L,C]}\n{Dim: * ∈ [1, 4096]; L,C ∈ [1, 65536]}\n{--conv 2d--}\n{Type: int8, int16, int32}\n{Shape: [*,H,W,C]}\n{Dim: * ∈ [1, 4096]; H,W,C ∈ [1, 65536]}'], 'stride': ['{--conv 1d--}\n{Shape: [SL]}\n{Dim: SL ∈ [1, 256]; SL ∈ {1} if dilation &gt; 1}\n{--conv 2d--}\n{Shape: [SH,SW]}\n{Dim: SH,SW ∈ [1, 256]; SH,SW ∈ {1} if dilation &gt; 1}'], 'pad': ['{--conv 1d--}\n{Shape: [P_left,P_right]}\n{Dim: P_left,P_right ∈ [-L/2, 256]}\n{--conv 2d--}\n{Shape: [P_top,P_left,P_bottom,P_right]}\n{Dim: P_top,P_bottom ∈ [-H/2, 256], P_left,P_right ∈ [-W/2, 256]}'], 'groupNum': ['{fin.c is divisible by group number}'], 'dilation': ['{--conv 1d--}\n{Shape: [DL]}\n{Dim: DL ∈ [1, 18]}\n{--conv 2d--}\n{Shape: [DH,DW]}\n{Dim: DH,DW ∈ [1, 18]}'], 'others': ['{--conv 1d--}\n{Stride only support odd number and 2 when conv is a int16 depthwise conv}\n{For each group, fin.c ∈ [1, 8192], KL × fin.c ∈ [1, 65535], fin.c = C when group = 1}\n{--conv 2d--}\n{Stride only support odd number and 2 when conv is a int16 depthwise conv}\n{For each group, fin.c ∈ [1, 8192], KH × KW × fin.c ∈ [1, 65535], fin.c = C when group = 1}']}}"
